time,CSI
13.838508367538452,[110 96 6 0 0 0 0 0 0 0 0 0 12 10 13 11 12 11 11 11 11 12 11 12 10 12 10 13 10 13 9 13 9 13 9 13 8 12 8 12 8 13 8 13 8 13 8 13 7 13 7 13 7 13 7 13 7 13 7 12 7 12 7 12 0 0 7 12 8 11 8 11 8 11 8 11 8 11 8 10 8 11 9 10 9 10 9 10 9 10 9 10 9 10 10 10 10 9 11 9 11 9 10 9 11 9 11 9 11 9 11 9 12 8 12 8 12 8 0 0 0 0 0 0 0 0 0 0 ]
14.03894305229187,[110 96 6 0 0 0 0 0 0 0 0 0 20 15 18 15 19 16 18 16 17 17 16 17 16 18 15 18 14 18 14 18 14 18 13 18 13 18 12 17 12 16 12 17 11 16 11 16 11 16 11 16 11 15 11 15 11 15 11 14 11 14 11 13 0 0 11 13 12 12 11 12 12 12 12 11 12 11 12 10 12 10 12 10 13 10 13 9 13 9 13 8 13 8 14 8 14 8 15 8 14 7 14 7 14 6 15 6 15 6 15 6 15 5 15 5 14 5 0 0 0 0 0 0 0 0 0 0 ]
14.139801502227783,[110 96 6 0 0 0 0 0 0 0 0 0 -1 -23 0 -23 2 -23 3 -23 3 -22 4 -23 4 -22 5 -22 5 -22 6 -21 6 -21 6 -21 6 -20 6 -20 6 -19 6 -19 6 -19 6 -18 6 -19 6 -18 5 -18 5 -18 5 -18 4 -17 4 -18 4 -18 0 0 4 -17 3 -17 3 -17 2 -18 1 -18 1 -17 1 -17 2 -18 1 -17 0 -18 -1 -17 -1 -18 -1 -18 0 -17 -1 -18 -2 -18 -2 -18 -2 -18 -3 -18 -3 -18 -3 -18 -3 -18 -3 -18 -4 -18 -4 -18 -4 -18 0 0 0 0 0 0 0 0 0 0 ]
14.241317749023438,[110 96 6 0 0 0 0 0 0 0 0 0 -20 12 -20 11 -21 10 -22 10 -22 9 -22 8 -22 8 -22 7 -21 6 -22 6 -22 6 -21 6 -21 5 -21 4 -21 4 -20 4 -20 4 -19 4 -20 5 -19 4 -19 4 -18 5 -18 5 -19 5 -18 5 -18 6 0 0 -17 5 -17 6 -17 7 -16 7 -16 7 -16 7 -16 8 -16 8 -15 7 -15 8 -15 9 -16 10 -15 9 -15 10 -14 10 -15 11 -14 11 -14 11 -15 11 -14 11 -14 12 -14 12 -14 12 -14 12 -13 11 -13 12 0 0 0 0 0 0 0 0 0 0 ]
14.345952033996582,[110 96 6 0 0 0 0 0 0 0 0 0 12 -20 13 -20 14 -18 15 -18 15 -17 15 -17 16 -16 15 -16 16 -16 17 -14 17 -15 17 -14 16 -14 16 -13 16 -14 15 -12 15 -12 15 -12 15 -12 14 -12 15 -12 14 -12 13 -12 14 -12 13 -12 13 -13 0 0 12 -12 12 -13 12 -13 11 -13 11 -14 11 -14 10 -14 10 -14 10 -14 10 -14 9 -15 10 -15 10 -15 9 -16 8 -16 9 -16 8 -16 8 -16 8 -16 7 -17 8 -17 8 -17 7 -16 7 -17 6 -17 7 -17 0 0 0 0 0 0 0 0 0 0 ]
14.45123028755188,[110 96 6 0 0 0 0 0 0 0 0 0 -8 21 -9 21 -10 20 -11 20 -12 19 -11 19 -12 19 -12 18 -13 18 -13 17 -12 17 -13 16 -13 16 -13 16 -13 15 -13 16 -13 15 -12 15 -12 15 -12 14 -12 14 -12 14 -10 14 -11 13 -11 14 -10 14 0 0 -9 14 -10 14 -9 14 -9 14 -8 14 -8 15 -8 15 -8 15 -7 15 -7 15 -6 15 -6 16 -6 16 -6 16 -6 16 -5 16 -5 17 -4 16 -4 17 -5 17 -4 17 -5 17 -4 17 -4 17 -3 17 -3 16 0 0 0 0 0 0 0 0 0 0 ]
14.795679330825806,[110 96 6 0 0 0 0 0 0 0 0 0 1 22 1 22 0 22 -1 21 -2 22 -2 22 -3 22 -3 21 -2 21 -4 21 -4 21 -4 20 -5 20 -5 19 -5 18 -5 19 -4 18 -4 18 -4 18 -4 18 -4 17 -3 17 -4 18 -4 17 -4 16 -3 17 0 0 -2 16 -2 17 -2 16 -1 17 -1 17 0 16 0 16 0 17 1 16 1 17 1 16 1 16 1 16 2 16 3 17 3 16 4 17 3 16 4 16 4 16 5 16 4 16 5 17 5 17 5 16 5 16 0 0 0 0 0 0 0 0 0 0 ]
14.909935712814331,[110 96 6 0 0 0 0 0 0 0 0 0 -13 -18 -12 -18 -12 -19 -11 -19 -11 -20 -10 -20 -9 -20 -9 -20 -8 -20 -8 -21 -8 -21 -7 -20 -7 -20 -7 -20 -6 -20 -6 -20 -6 -19 -6 -19 -6 -19 -5 -18 -6 -19 -6 -18 -6 -19 -6 -17 -6 -18 -6 -18 0 0 -7 -17 -7 -17 -7 -16 -8 -16 -8 -16 -8 -16 -8 -16 -9 -16 -9 -16 -10 -16 -10 -15 -10 -16 -11 -15 -10 -15 -11 -15 -12 -15 -12 -15 -12 -15 -12 -15 -13 -15 -13 -15 -13 -15 -13 -14 -14 -14 -14 -14 -14 -14 0 0 0 0 0 0 0 0 0 0 ]
14.993319034576416,[110 96 6 0 0 0 0 0 0 0 0 0 9 9 9 10 8 10 8 10 7 10 7 11 7 11 6 11 6 11 6 11 6 11 5 11 5 11 5 11 5 11 5 11 5 11 5 10 5 11 4 10 5 10 5 10 5 10 5 10 5 9 5 9 0 0 6 9 5 9 6 9 6 8 6 9 6 8 6 8 6 8 7 8 7 8 7 7 7 7 7 7 8 7 7 7 8 7 8 7 9 7 9 6 9 6 9 7 9 6 9 7 9 6 9 6 10 6 0 0 0 0 0 0 0 0 0 0 ]
15.082979202270508,[110 96 6 0 0 0 0 0 0 0 0 0 14 0 15 0 15 1 16 1 14 2 15 3 15 2 14 3 14 3 14 3 14 4 13 4 14 4 13 4 13 4 13 5 13 5 12 4 12 4 12 4 12 4 12 4 12 4 12 4 12 4 12 4 0 0 11 3 11 3 12 3 11 2 12 2 12 1 12 1 12 1 11 1 11 1 12 1 12 1 12 0 12 0 12 0 13 -1 12 -1 13 -1 13 -1 12 -1 13 -1 13 -1 13 -2 13 -2 13 -2 13 -2 0 0 0 0 0 0 0 0 0 0 ]
